,name,image_url,review_count,categories,rating,Address,Postal Code,latitude,longitude,Number
0,Gardens By The Bay,https://s3-media2.fl.yelpcdn.com/bphoto/qT8KatwbuJJvqrRJP4gmzw/o.jpg,387,gardens,4.5,18 Marina Gardens Dr,18953,1.281955743,103.8638905,6564206848
1,Singapore Botanic Gardens,https://s3-media3.fl.yelpcdn.com/bphoto/k_j7-pjkx6V3mL2nj3Un0w/o.jpg,124,gardens,4.5,1 Cluny Rd,259569,1.319349186,103.8147259,6564717138
2,Tian Tian Hainanese Chicken Rice,https://s3-media3.fl.yelpcdn.com/bphoto/UJ5Kp3NWi5vyCnUf_ftiFQ/o.jpg,386,hainan,4,1 Kadayanallur St,69120,1.28035,103.84472,6596914852
3,Singapore Zoo,https://s3-media1.fl.yelpcdn.com/bphoto/am-xDxGrZMg-WldeFo8Y-Q/o.jpg,101,zoos,4.5,80 Mandai Lake Rd,729826,1.404357,103.793023,6562693411
4,Din Tai Fung,https://s3-media2.fl.yelpcdn.com/bphoto/fxsbP8mMJJSZdD1e9P6nFA/o.jpg,134,taiwanese,4.5,435 Orchard Rd,238877,1.303999,103.83318,6567321383
5,Cloud Forest,https://s3-media3.fl.yelpcdn.com/bphoto/r7PNxWui4Di_gb4lt213Hw/o.jpg,51,gardens,5,18 Marina Gardens Dr,18953,1.28385239,103.8660581,6564206848
6,Song Fa Bak Kut Teh,https://s3-media4.fl.yelpcdn.com/bphoto/cgE6mZ8dNeuazbEK4ipZLA/o.jpg,136,singaporean,4,11 New Bridge Rd,59383,1.28897,103.84774,6565336128
7,Tolido's Espresso Nook,https://s3-media3.fl.yelpcdn.com/bphoto/40D0vX8qEoBwKFSplvDOHA/o.jpg,67,breakfast_brunch,4.5,462 Crawford Ln,190462,1.304534861,103.8610711,6566480178
8,Jumbo Seafood,https://s3-media3.fl.yelpcdn.com/bphoto/85hCRe6TJh0e670IadHemA/o.jpg,190,seafood,4,20 Upper Circular Road,58416,1.288928737,103.8483739,6565343435
9,Two Men Bagel House,https://s3-media4.fl.yelpcdn.com/bphoto/g1bRzXGxoIFwUxlg-bswKQ/o.jpg,77,bagels,4.5,16 Enggor St,79717,1.274531225,103.8443831,6569705033
10,Nylon Coffee Roasters,https://s3-media1.fl.yelpcdn.com/bphoto/niFfk-ov2thNRmwYmWUc7w/o.jpg,71,coffeeroasteries,4.5,4 Everton Park,80004,1.276809987,103.8399761,6562202330
11,Merlion Park,https://s3-media1.fl.yelpcdn.com/bphoto/VD0733idjFSBISSgbpD3DA/o.jpg,95,parks,4,70 Collyer Quay,49213,1.286796407,103.8545092,6567366622
12,Ah Tai Hainanese Chicken Rice,https://s3-media4.fl.yelpcdn.com/bphoto/rVZe-rS7E6mmqyQX-8zO4w/o.jpg,56,chickenshop,4.5,1 Kadayanallur St,69184,1.280415,103.844583,6581376559
13,Liao Fan Hawker Chan,https://s3-media2.fl.yelpcdn.com/bphoto/LMpD02h3B5mvUyBs894lcQ/o.jpg,140,noodles,4,78 Smith St,58972,1.28319,103.84296,6562722000
14,Sungei Road Laksa,https://s3-media3.fl.yelpcdn.com/bphoto/TD2qcEtt-AEJ0U0JAIeRpQ/o.jpg,72,singaporean,4.5,27 Jalan Berseh,200027,1.306734036,103.8577724,
15,CUT,https://s3-media4.fl.yelpcdn.com/bphoto/0v-14_ffLhH0O-uYpc9lEQ/o.jpg,54,tradamerican,4.5,2 Bayfront Ave,18956,1.285331,103.8594397,6566888517
16,Old Airport Road Food Centre,https://s3-media1.fl.yelpcdn.com/bphoto/RQ2oY9RFsCvqwPepyjnaZA/o.jpg,65,hawkercentre,4.5,Block 51 Old Airport Rd,390051,1.30817,103.8857,6590812898
17,Tai Hwa Pork Noodle,https://s3-media4.fl.yelpcdn.com/bphoto/nxea-BvWww-FXGj6vEZ8kg/o.jpg,85,chinese,4,466 Crawford Lane,190465,1.305307,103.862343,6562927477
18,Komala Vilas Restaurant,https://s3-media3.fl.yelpcdn.com/bphoto/th00l65Jq43uMDQDIMHtWQ/o.jpg,67,indpak,4,76-78 Serangoon Rd,217981,1.30642,103.85192,6562936980
19,Song Fa Bak Kut Teh,https://s3-media2.fl.yelpcdn.com/bphoto/w0E6t9U-GJNkWSBZnWl_8g/o.jpg,40,chinese,4.5,133 New Bridge Rd,59413,1.285099357,103.8446638,6564431033
20,Ippudo,https://s3-media3.fl.yelpcdn.com/bphoto/Yp2_mwZ79wLB8HeSmTJhEA/o.jpg,80,ramen,4,333A Orchard Rd,238897,1.30199,103.836799,6562352797
21,Khansama Tandoori,https://s3-media2.fl.yelpcdn.com/bphoto/0-h3tBYYbiPhCHpcFWLWJg/o.jpg,63,indpak,4,166 Serangoon Rd,218050,1.3081,103.85305,6562990300
22,Zam Zam Restaurant,https://s3-media3.fl.yelpcdn.com/bphoto/JBvPtqY1eHVf7N_F-kHMUQ/o.jpg,94,indpak,4,697-699 North Bridge Rd,198676,1.30223,103.85842,6562987011
23,Buddha Tooth Relic Temple And Museum,https://s3-media3.fl.yelpcdn.com/bphoto/MM56Ly5LIhZQhG6aVK3Aqw/o.jpg,42,buddhist_temples,4.5,288 South Bridge Rd,58840,1.28126,103.84464,6562200220
24,Vatos Urban Tacos,https://s3-media3.fl.yelpcdn.com/bphoto/O7cE5crP8GRG6LNZMUBlYA/o.jpg,90,mexican,4,36 Beach Rd,189766,1.2959732,103.8561986,6563856010
25,Spago By Wolfgang Puck,https://s3-media2.fl.yelpcdn.com/bphoto/yaxDTKgC8kbickfWRVsh6A/o.jpg,65,tradamerican,4,10 Bayfront Ave,18956,1.283209,103.860502,6566889955
26,Hokkaido Ramen Santouka,https://s3-media2.fl.yelpcdn.com/bphoto/OMwe1DFAL5onX-DrCT404A/o.jpg,59,ramen,4.5,6 Eu Tong Sen St,59817,1.28796305,103.8460039,6562240668
27,ATLAS,https://s3-media3.fl.yelpcdn.com/bphoto/-GCH7wNPAwLRFRiWQ2VVDg/o.jpg,59,wine_bars,4,600 North Bridge Rd,188778,1.3001868,103.8577002,6563964466
28,Native,https://s3-media1.fl.yelpcdn.com/bphoto/2ptvP-QjeRP4dTNnIS1PLA/o.jpg,25,cocktailbars,5,52 Amoy Street,69878,1.28013,103.84674,
29,28 Hong Kong Street,https://s3-media2.fl.yelpcdn.com/bphoto/NG509l-F6LP36263Z4OpaQ/o.jpg,72,bars,4,28 HongKong Street,59667,1.287630876,103.8469577,6583180328
30,328 Katong Laksa,https://s3-media2.fl.yelpcdn.com/bphoto/KZn7vR-8IEX67DyLjsZUpA/o.jpg,88,singaporean,4,51 East Coast Rd,428770,1.3051,103.90318,6597328163
31,Liao Fan Hawker Chan,https://s3-media2.fl.yelpcdn.com/bphoto/XD1KEMzPT7ErS8USqNXWOA/o.jpg,60,cantonese,4,335 Smith St,50335,1.282594,103.84309,
32,National Orchid Garden,https://s3-media2.fl.yelpcdn.com/bphoto/jPN-da8WTE1U0ymOHUxevg/o.jpg,29,gardens,4.5,1 Cluny Rd,259569,1.311716,103.814891,
33,Tom's Palette,https://s3-media3.fl.yelpcdn.com/bphoto/VPDXRGb-2rbrVGNc8J4wPQ/o.jpg,41,icecream,4.5,51 Middle Road,188959,1.2972901,103.8552318,
34,Common Man Coffee Roasters,https://s3-media2.fl.yelpcdn.com/bphoto/BozNK44LP8lqypolBmew2w/o.jpg,86,coffeeroasteries,4,22 Martin Rd,235098,1.29186,103.83842,6568364695
35,Wee Nam Kee Chicken Rice,https://s3-media2.fl.yelpcdn.com/bphoto/N7d5snBlYA_G4M7PwmtWIw/o.jpg,47,chickenshop,4.5,101 Thomson Rd,307591,1.317058,103.843868,6562556396
36,ArtScience Museum,https://s3-media3.fl.yelpcdn.com/bphoto/qWwNSLsMtgxaOvfbc-KT4w/o.jpg,55,museums,4,6 Bayfront Ave,18974,1.2862737,103.8592661,6566888868
37,The Sushi Bar,https://s3-media4.fl.yelpcdn.com/bphoto/oBa_b3RtwRjE2jOUuF644g/o.jpg,40,sushi,4.5,14 Scotts Rd,228213,1.30691,103.83354,6596536464
38,S.E.A. Aquarium,https://s3-media2.fl.yelpcdn.com/bphoto/W7cLMiLr39rmHpc2t72nKw/o.jpg,43,aquariums,4.5,24 Sentosa Gateway,98137,1.2567299,103.8237,
